지점,지점명,LON,LAT,FFMC_top10fwi_mean,DMC_top10fwi_mean,DC_top10fwi_mean,ISI_top10fwi_mean,BUI_top10fwi_mean,fwi_top10per_mean
337,우항,128.0632,37.4597,86.74771327455767,20.992384658590954,79.97217774867539,3.419234084516804,25.232135720131375,6.25316724761219
338,둔내,128.21068,37.50568,87.16715719874117,25.773432780658066,87.65849193711354,3.5661937334565406,29.70148847218492,7.224168933749815
339,서원,127.8819,37.48915,86.48902707563516,23.970106957310467,97.78967678529345,3.1332715495529686,29.34795310126392,6.245635054748162
340,공근,127.98047,37.52823,86.35971719554693,23.500922232402907,91.43321452411477,3.129019696764418,28.35434491500645,6.075288502602653
345,학성,127.94576,37.37462,87.31287938190373,26.3480490781308,86.61860266663486,4.188925656028186,30.235661957927586,8.376917056081401
346,강릉구정,128.89722,37.71199,88.78481698542717,47.543491706638314,352.3864464533966,7.637929493786118,68.08467012786794,18.799294754917693
347,귀래,127.85685,37.22755,87.15244484831902,25.8450244656456,90.18040953395597,3.77445271332191,29.751263038290126,7.540332942080043
348,하조대,128.71678,38.02572,88.02574058418134,32.80336623640892,142.3179380337187,6.041401227902282,40.23136372265431,12.422516253592912
349,시동,127.84308,37.59997,86.07427808831126,23.37591255232091,89.01735460565875,3.0731288288409235,27.500226524367974,5.920902833268849
350,조침령,128.49556,37.99534,85.96004840896174,18.38653294173458,89.6005910558167,3.479084871819065,23.141481006811038,5.680145283060495
497,삽당령,128.85145,37.57516,84.56440350656547,20.71227411658186,111.1958900564357,2.5814780385452836,26.335731897915334,4.69016524112786
498,구룡령,128.51447,37.87925,84.65234335683266,14.75455480094236,70.33641707614497,3.9130491491881325,18.421843107781694,5.476156897731275
517,간성,128.47449,38.38537,88.04584380555993,29.330050205720724,125.34835884824764,5.566152501323778,35.32996900307518,11.07456409368134
518,해안,128.1211,38.26958,85.89449280609301,26.8683808570429,116.52708698821549,4.058508903637971,32.958235594056674,8.020483591614742
519,사내,127.5194,38.07545,85.45437020931902,23.87680749665489,120.15382216462544,2.7959515121608955,30.36899800366229,5.755703381636424
520,설악동,128.49327,38.17207,87.55017525046006,26.579087505519475,98.38612916976899,4.466480547408712,31.003044664756814,8.559471836463784
521,강현,128.6026,38.14373,87.60760198043654,32.015938756180624,129.2329905261811,5.212138032528513,38.121814302061836,10.955653314831864
522,화촌,128.01891,37.86866,86.7319609051976,31.359701138829013,139.02458421377915,3.775888954773225,38.54040933650774,8.775029803269899
523,주문진,128.82138,37.89905,87.7936496456622,38.934008499038626,153.62749640140126,4.8368417031764475,46.10257126756442,11.545983026829575
524,경포,128.92477,37.78579,89.01328817549141,45.757218943522716,160.3741747088836,7.7833078185293285,52.65214372095962,17.64638558064286
525,봉평,128.35893,37.62109,84.6208222990761,18.703557367435504,99.82141224945148,2.8771640565285237,24.009128784839636,4.974820692544119
526,평창,128.39461,37.37787,86.24778519868215,29.085894440694233,126.52906331095679,3.281467564240907,35.6694270883172,7.424762017597398
527,신동,128.64126,37.21108,86.16305768771771,27.649982491995633,132.44547656718564,3.968923305170975,34.62764311886209,8.464941639008801
529,원덕,129.2858,37.1413,87.39296574663567,40.73413763551525,175.52536060692864,5.277273733133231,49.03199276197235,12.677972996922808
535,서석,128.18265,37.71701,86.3514645533066,28.677000369847935,131.02562525770625,3.4612947291942193,35.61922299661189,7.739254343048096
536,횡성,127.97241,37.48761,87.49727725685096,38.090085375526634,163.89604982852273,4.09997766702365,46.24827870517617,10.498377553577008
537,임계,128.84589,37.48323,86.06986469342196,29.94705213964441,135.69252398461063,3.7038232645204303,36.79619496836624,8.224380844845955
552,김화,127.38937,38.23153,85.65215627296719,24.260650178483345,117.89413373139381,3.0840723733638686,30.694991983774393,6.342689320441079
553,죽정,128.42813,38.49235,88.1935277887555,30.390467609204656,117.99285940872325,7.100735091001683,35.46697266908973,13.298688033366052
554,미시령,128.43712,38.21439,86.78669397171878,13.11002958992765,53.0696503215783,35.396666343741124,15.650315161689718,25.956033121134297
555,화천,127.69062,38.08371,86.25682275554695,30.611669163594794,133.99373361888087,3.2880707797276587,37.798837366484975,7.681829301698343
556,양구,127.98527,38.09799,86.2193519713487,34.04219652547492,147.28804588044878,3.4875388500553854,41.732513543799485,8.453992381615832
557,기린,128.31388,37.9537,86.04124643529325,30.962631673499132,141.16061828199207,3.2722347665789067,38.61264993442066,7.661906294404125
558,팔봉,127.70066,37.68614,86.65343118956534,32.170704668944815,144.4548527223233,3.256810070894852,39.56350694891232,7.862685276595827
559,내면,128.38979,37.77385,84.52512333170081,18.532183135250904,97.59039710011936,2.775588470857661,23.778383168159905,4.734910328191321
560,진부,128.56447,37.64794,84.88841513328602,21.537993040741632,118.39531791616052,3.32092913865475,27.970002224749827,6.194591067154144
561,청일,128.15275,37.58219,86.55963391853402,29.812378173864804,133.1278528159089,3.68542689317973,36.57384467433572,8.367905157999756
562,영월주천,128.26942,37.27534,86.3708301351998,30.517739197408364,137.42750623642556,3.555363314816217,37.82940643723844,8.230177788463768
563,북평,128.74056,37.26875,86.51083754690924,29.502486739701137,139.4895219103923,4.467919802296734,36.50891571616963,9.570270118896016
566,연곡,128.8192,37.85155,88.01816867487062,40.526156670893776,155.92144442488302,5.607258681700376,47.672817538946106,13.051335065772605
579,하장,128.9129,37.3666,85.85776465559057,28.31612670317981,136.82180037959589,3.347264203589226,35.40691425852522,7.487491133565708
580,옥계,129.0288,37.6135,88.05578065996639,36.07849828573956,141.55055052349945,7.4327877205136765,42.43379271220702,15.055877835963447
581,상동,128.7742,37.1164,86.25748041039027,26.93547520464483,120.69616362684667,3.4978712432512302,33.149870558104915,7.4140440464685815
582,신림,128.0799,37.2314,87.20756126180854,34.069846086751475,127.88157025767455,3.7659398928795,40.017697920694175,8.946281956736978
583,안흥,128.1551,37.4646,86.85507405267242,29.416327798976685,117.59336718470058,3.5574816785114347,34.84236047706498,7.8893710087842885
585,신남,128.0742,37.95996,86.23037056240645,30.230649773052075,128.79200229601153,3.6016850159074334,36.95567817345945,8.067801276069778
586,북산,127.8769,38.03209,86.01072907433854,30.35399774576518,136.87627890341986,3.097322310164115,37.8435645889672,7.27211076610221
587,방산,127.94949,38.20907,85.82146390408833,29.083006335104134,135.21338270703873,3.057244392348654,36.30709562320903,7.000038730479105
